TID,Time
1,22557
2,23138
3,23212
4,23215
5,23260
6,23289
7,23303
8,23491
9,23608
10,23611
11,23714
12,23791
13,23793
14,24120
15,24296
16,24298
17,24669
18,24862
19,25010
20,25187
21,26255
22,26672
23,26856
24,27163
25,27260
26,27314
27,27364
28,27367
29,27437
30,27441
31,27524
32,27583
33,27658
34,27661
35,27759
36,27804
37,27805
38,27810
39,27964
40,28216
41,28302
42,28304
43,28305
44,28310
45,28312
46,28313
47,28315
48,28319
49,28319
50,28411
51,28413
52,28474
53,28541
54,28609
55,28613
56,28662
57,28759
58,28823
59,28827
60,29074
61,29406
62,29493
63,29509
64,30893
65,30937
66,31014
67,31079
68,31115
69,31130
70,31150
71,31174
72,31237
73,31307
74,31446
75,31514
76,31586
77,31590
78,31600
79,31601
80,31605
81,31606
82,31738
83,31888
84,31892
85,32021
86,32093
87,32098
88,32100
89,32103
90,32117
91,32155
92,32239
93,32326
94,32474
95,32626
96,32629
97,32637
98,32654
99,32661
100,32672
101,32692
102,32894
103,33045
104,33485
105,33491
106,33570
107,33572
108,34124
109,34225
110,34375
111,34379
112,34442
113,34555
114,36281
115,36464
116,36470
117,36474
118,36745
119,36945
120,36946
121,37037
122,37087
123,37087
124,37220
125,37222
126,37300
127,37449
128,37451
129,37567
130,37570
131,37723
132,37784
133,37976
134,37980
135,37993
136,38349
137,38351
138,38460
139,38463
140,38599
141,38683
142,38878
143,38998
144,39000
145,39003
146,39004
147,39006
148,39008
149,39181
150,39434
151,39440
152,39456
153,39543
154,39550
155,39678
156,39725
157,39740
158,41102
159,41108
160,41110
161,41155
162,41168
163,41203
164,41250
165,41253
166,41254
167,41257
168,41415
169,41752
170,41756
171,41757
172,41761
173,41765
174,41769
175,41775
176,41780
177,41783
178,41786
179,41787
180,41789
181,42059
182,42060
183,42063
184,42066
185,42067
186,42068
187,42070
188,42143
189,42145
190,42236
191,42503
192,42776
193,42779
194,42843
195,43063
196,43076
197,43163
198,43275
199,43277
200,43338
201,43340
202,43505
203,43510
204,43662
205,43743
206,43749
207,43829
208,43833
209,44466
210,44607
211,44608
212,44613
213,46315
214,46340
215,46419
216,46459
217,46465
218,46521
219,46642
220,46668
221,46691
222,46693
223,46759
224,46767
225,46769
226,46777
227,46781
228,47249
229,47345
230,47463
231,47472
232,47527
233,47542
234,47655
235,47791
236,47792
237,47794
238,47808
239,47921
240,47924
241,48000
242,48001
243,48181
244,48267
245,48535
246,48538
247,48538
248,48539
249,48540
250,48542
251,48542
252,48543
253,48545
254,48547
255,48553
256,48554
257,48773
258,48790
259,48852
260,48885
261,49003
262,49093
263,49101
264,49104
265,49205
266,49268
267,49284
268,49393
269,49404
270,49720
271,51184
272,51185
273,51396
274,51777
275,52017
276,52082
277,52083
278,52089
279,52093
280,52095
281,52096
282,52102
283,52112
284,52162
285,52362
286,52363
287,52367
288,52436
289,52547
290,52549
291,52711
292,53186
293,53394
294,53396
295,53399
296,53528
297,53538
298,53663
299,53727
300,53889
301,53965
302,54057
303,54066
304,54075
305,54133
306,54232
307,54282
308,54445
309,54649
310,54757
311,54882
312,55222
313,55254
314,55571
315,55600
316,55670
317,55805
318,55890
319,55953
320,56107
321,56256
322,56257
323,56391
324,56436
325,56470
326,56473
327,56484
328,56506
329,56511
330,56563
331,56631
332,56632
333,56634
334,56635
335,56637
336,56638
337,56696
338,56756
339,56811
340,56963
341,56965
342,56968
343,56969
344,56971
345,57071
346,57278
347,57281
348,57460
349,57522
350,57524
351,59209
352,59804
353,59822
354,59950
355,60372
356,60374
357,60377
358,60378
359,60381
360,60388
361,60438
362,60440
363,60625
364,60626
365,60685
366,60817
367,60818
368,60837
369,60947
370,61032
371,61035
372,61036
373,61044
374,61045
375,61385
376,61387
377,61389
378,61390
379,61391
380,61394
381,61395
382,61397
383,61397
384,61398
385,61399
386,61400
387,61403
388,61472
389,61474
390,61532
391,61535
392,61551
393,61604
394,61678
395,61929
396,61934
397,62313
398,62565
399,62581
400,62655
401,62731
402,62840
403,62843
404,62846
405,62850
406,62851
407,63114
408,63116
409,63123
410,63160
411,63913
412,63930
413,64065
414,64145
415,64233
416,64269
417,64812
418,64960
419,65018
420,65098
421,65131
422,65133
423,65137
424,65276
425,65276
426,65277
427,65303
428,65482
429,65896
430,65898
431,65994
432,66087
433,66087
434,66089
435,66093
436,66095
437,66098
438,66100
439,66107
440,66128
441,66141
442,66200
443,66367
444,66368
445,66450
446,66568
447,66572
448,66573
449,66578
450,66662
451,66853
452,67219
453,67220
454,70251
455,70253
456,70255
457,70321
458,70322
459,70323
460,70325
461,70328
462,70331
463,70334
464,70336
465,70339
466,70342
467,70346
468,70581
469,70678
470,70680
471,70691
472,70755
473,70857
474,70992
475,71495
476,71499
477,71646
478,71913
479,71914
480,72175
481,76369
482,76884
483,77053
484,77355
485,78081
486,78824
487,78834
488,79405
489,79876
