,TID,Time
0,213,46315
1,214,46340
2,215,46419
3,216,46459
4,217,46465
5,218,46521
6,219,46642
7,220,46668
8,221,46691
9,222,46693
10,223,46759
11,224,46767
12,225,46769
13,226,46777
14,227,46781
15,228,47249
16,229,47345
17,230,47463
18,231,47472
19,232,47527
20,233,47542
21,234,47655
22,235,47791
23,236,47792
24,237,47794
25,238,47808
26,239,47921
27,240,47924
28,241,48000
29,242,48001
30,243,48181
31,244,48267
32,245,48535
33,246,48538
34,247,48538
35,248,48539
36,249,48540
37,250,48542
38,251,48542
39,252,48543
40,253,48545
41,254,48547
42,255,48553
43,256,48554
44,257,48773
45,258,48790
46,259,48852
47,260,48885
48,261,49003
49,262,49093
50,263,49101
51,264,49104
52,265,49205
53,266,49268
54,267,49284
55,268,49393
56,269,49404
57,270,49720
