,CardID,FDate,LineCode_O,PLat_O,Time_O,Station_O,LineCode_D,PLat_D,Time_D,Station_D
0,2741717316,1398/06/23,1,A148,21888,3169,63,E24,72453,2422
1,3678579180,1398/06/23,1,A148,29550,3169,103,C32,36709,1893
2,3648982148,1398/06/23,1,A148,67004,1227,103,C32,68119,3056
3,1836298589,1398/06/23,1,C65,51480,1227,1,A148,68595,3169
4,710482997,1398/06/23,43,C60,31315,1285,1,A34,52868,3169
5,2122381700,1398/06/23,1,A34,24930,2737,83,N181,61309,2524
6,2232241619,1398/06/23,1,A34,38132,2873,103,E201,51524,1893
7,3180866766,1398/06/23,1,A34,62707,1363,1,D23,69556,3169
8,3405857235,1398/06/23,94,E47,23015,2297,1,B25,24232,3169
9,1001217566,1398/06/23,1,B25,24260,3169,1,N77,26999,3169
10,2740601460,1398/06/23,1,B25,24641,3169,7,E241,74849,1190
11,2123505492,1398/06/23,1,C16,21913,3169,63,A157,23560,1303
12,1834802269,1398/06/23,97,M147,29581,1682,1,C62,30850,3169
13,796500110,1398/06/23,64,E43,35969,1831,1,C62,40440,3179
14,1527144718,1398/06/23,28,C36,49825,2164,1,C65,51160,1227
15,181886388,1398/06/23,1,C65,60166,1227,103,C32,72997,3056
16,2854932734,1398/06/23,1,C65,60184,1227,84,F22,69207,1892
17,2137355645,1398/06/23,1,E55,29531,1371,1,C65,60194,1227
18,397293146,1398/06/23,1,D33,21699,3169,1,N11,23502,3169
19,1513399653,1398/06/23,1,D33,21711,3169,34,N98,23644,3586
20,981880539,1398/06/23,1,N167,24525,3169,1,D33,62083,3175
21,1281072078,1398/06/23,1,D33,62333,1358,103,C32,73031,3056
22,480433540,1398/06/23,97,E59,22912,1682,1,D35,23910,3169
23,2680714132,1398/06/23,91,A38,22387,3799,1,D35,35903,3181
24,1459323397,1398/06/23,1,D44,22768,3169,10,M39,23706,1880
25,3154141134,1398/06/23,97,M41,60853,1682,1,D44,61988,3169
26,3154141134,1398/06/23,1,D44,61988,3169,97,E221,72560,1682
27,2743109092,1398/06/23,1,D44,30119,2588,80,D18,69458,1900
28,2743109092,1398/06/23,80,D18,69458,1900,57,F137,70632,3169
29,3791825333,1398/06/23,1,D44,38435,3189,1,E31,71345,3169
30,429455502,1398/06/23,1,N167,28202,1226,1,D92,51474,1224
31,3152273502,1398/06/23,80,M110,25084,1690,1,D94,27075,1227
32,3152273502,1398/06/23,1,D94,27075,1227,80,N101,57990,1690
33,3213258932,1398/06/23,1,D94,27113,1227,29,C49,31313,2524
34,2136921453,1398/06/23,83,N181,38145,2550,1,D94,45186,3169
35,879622620,1398/06/23,1,D94,45192,3169,16,C17,49282,3534
36,721854589,1398/06/23,1,D94,50644,1225,5,F20,72283,3852
37,2482012276,1398/06/23,1,E31,25021,3169,83,N66,27590,2524
38,2541210190,1398/06/23,1,E31,25024,3169,83,N66,27597,2524
39,721723218,1398/06/23,1,E52,23379,3169,1,E31,37402,1227
40,3759961829,1398/06/23,1,E31,37453,1227,97,A38,44562,1682
41,737892560,1398/06/23,57,N76,27094,3169,1,E31,46668,1227
42,3150813502,1398/06/23,29,C12,52074,2524,1,E31,55544,1227
43,721917692,1398/06/23,9,B75,51789,1104,1,E31,65987,1227
44,3444975948,1398/06/23,1,E31,33120,1362,57,A18,45012,3169
45,4275855138,1398/06/23,1,E31,33135,2426,43,N70,34763,2787
46,182870806,1398/06/23,1,N167,41066,3169,1,E31,42435,3185
47,869254986,1398/06/23,1,E52,23037,3169,1,F82,31103,2338
48,1459582373,1398/06/23,1,E52,49256,1227,103,F62,61784,1893
49,3179387102,1398/06/23,1,E52,49725,1371,4,F143,51156,3194
50,2125848468,1398/06/23,103,F62,48397,1893,1,E52,49728,2588
51,2125848468,1398/06/23,1,E52,49728,2588,84,F22,56296,1447
52,3254339245,1398/06/23,1,E55,22705,3169,1,F82,35288,3181
53,869346084,1398/06/23,1,F82,26635,1227,1,E55,33211,1227
54,4269423570,1398/06/23,29,B17,30406,4168,1,E55,33455,1227
55,398645850,1398/06/23,156,M148,34918,3252,1,E55,42503,1227
56,3151374318,1398/06/23,1,E55,42611,1227,97,A38,44573,1682
57,3794636764,1398/06/23,1,F82,30971,1358,1,E55,52098,1227
58,2680118542,1398/06/23,1,E55,38188,2586,43,M16,39393,2341
59,722175500,1398/06/23,1,F82,23530,3169,10,A17,24691,1108
60,3180900382,1398/06/23,1,F82,23719,3169,91,C54,25834,3799
61,990427550,1398/06/23,97,A38,25734,1682,1,F82,26620,1227
62,3792204869,1398/06/23,97,A38,25802,1682,1,F82,26638,1227
63,3792204869,1398/06/23,1,F82,26638,1227,57,M130,58694,3169
64,428374206,1398/06/23,103,F62,25050,3056,1,F82,26656,1227
65,3793320556,1398/06/23,103,F62,25052,3056,1,F82,26658,1227
66,3180634606,1398/06/23,31,E214,33287,2509,1,F82,44100,1227
67,2590506292,1398/06/23,103,E201,42682,1893,1,F82,44381,3185
68,722045321,1398/06/23,97,E125,27121,1682,1,F82,63466,1371
69,3793600732,1398/06/23,84,F22,54718,1892,1,F82,63476,1247
70,2497687037,1398/06/23,96,F166,62348,1439,1,F82,63491,1247
71,4274559394,1398/06/23,1,M50,23101,3169,43,C60,24198,1303
72,262145537,1398/06/23,1,M50,23101,3169,22,C57,23930,2218
73,3109041285,1398/06/23,1,M50,39433,1358,57,M64,66186,1101
74,480244180,1398/06/23,1,N11,38904,3169,25,M36,51348,3830
