station_code,line,order,go_back,station_name,geo_width,geo_length,station_type,roate_type,in_terminal
3169,1,1,go,????-157-57,51.731912,32.720558,od,normal,no
3170,1,2,go,???? ???? ?????,51.728978,32.715887,normal,normal,no
3172,1,3,go,?????,51.727200,32.712987,normal,normal,no
3175,1,4,go,??? ??????,51.725108,32.710537,normal,normal,no
3177,1,5,go,?????,51.720581,32.707897,normal,normal,no
3179,1,6,go,??????,51.717166,32.705897,normal,normal,no
3181,1,7,go,?????,51.714655,32.704425,normal,normal,no
3183,1,8,go,?????,51.712080,32.702500,normal,normal,no
3185,1,9,go,?? ?????,51.710137,32.700790,normal,normal,no
3187,1,10,go,?????,51.708561,32.699422,normal,normal,no
3189,1,11,go,?? ?????,51.706684,32.697653,normal,normal,no
2338,1,12,go,????? ????,51.705010,32.696275,normal,normal,no
2426,1,13,go,????? ????,51.703014,32.694521,normal,normal,no
2784,1,14,go,?????? ????,51.702128,32.693692,normal,normal,no
2584,1,15,go,?????,51.699667,32.691472,normal,normal,no
2586,1,16,go,?? ??? ??????,51.697467,32.689508,normal,normal,no
2588,1,17,go,??????,51.696302,32.688485,normal,normal,no
2737,1,18,go,?????,51.692867,32.685660,normal,normal,no
2873,1,19,go,?????? ??? ???????,51.690875,32.684104,normal,normal,no
2781,1,20,go,????? ???,51.688487,32.679764,normal,normal,no
1356,1,21,go,????? ???,51.688019,32.677728,normal,normal,no
1371,1,22,go,???? ??? ???? ????,51.687024,32.673429,normal,normal,no
1372,1,23,go,????? ???? ??? ?,51.686739,32.671897,normal,normal,no
1358,1,24,go,????????,51.684734,32.663338,normal,normal,no
1247,1,25,go,???? ??? ??? ???,51.683853,32.659445,normal,normal,no
1248,1,26,go,??? ??????,51.682955,32.655628,normal,normal,no
1361,1,27,go,??? ????,51.682329,32.652989,normal,normal,no
1362,1,28,go,???? ??? ?????,51.681382,32.648787,normal,normal,no
1363,1,29,go,?????? ?????,51.681673,32.644946,normal,normal,no
1364,1,30,go,????? ?????,51.682740,32.641374,normal,normal,no
1224,1,31,go,?????,51.685326,32.638599,normal,normal,no
1225,1,32,go,?? ?????,51.689353,32.639232,normal,normal,no
1226,1,33,go,????? ???????,51.692766,32.640003,normal,normal,no
1226,1,34,go,????? ???????,51.692766,32.640003,normal,normal,no
1227,1,1,back,????? ???????-1,51.693389,32.640658,od,normal,no
1228,1,2,back,?? ?????,51.688306,32.639354,normal,normal,no
1365,1,3,back,?????? ?????,51.683695,32.639294,normal,normal,no
1366,1,4,back,????? ?????,51.683087,32.641410,normal,normal,no
1367,1,5,back,???????,51.682467,32.643359,normal,normal,no
1368,1,6,back,?????? ?????,51.681577,32.646380,normal,normal,no
1369,1,7,back,???? ??? ?????,51.681863,32.650106,normal,normal,no
1243,1,8,back,??? ????,51.682540,32.652919,normal,normal,no
1235,1,9,back,??? ??????,51.683192,32.655751,normal,normal,no
1705,1,10,back,???? ??? ??? ???,51.683979,32.659202,normal,normal,no
1359,1,11,back,?????? ????,51.684459,32.661238,normal,normal,no
1360,1,12,back,????????,51.685042,32.663759,normal,normal,no
1646,1,13,back,???? ??? ???? ????,51.687142,32.672924,normal,normal,no
1241,1,14,back,????? ???,51.688034,32.676781,normal,normal,no
2592,1,15,back,?????? ????,51.688587,32.679023,normal,normal,no
2589,1,16,back,?????? ??? ???????,51.690911,32.683795,normal,normal,no
2782,1,17,back,?????,51.693411,32.685846,normal,normal,no
2585,1,18,back,?? ??? ??????,51.697580,32.689300,normal,normal,no
2583,1,19,back,?????,51.699072,32.690643,normal,normal,no
2783,1,20,back,?????? ????,51.701865,32.693095,normal,normal,no
2339,1,21,back,????? ????,51.705512,32.695895,normal,normal,no
3188,1,22,back,?? ?????,51.707324,32.697988,normal,normal,no
3186,1,23,back,?????,51.709169,32.699629,normal,normal,no
3184,1,24,back,?? ?????,51.710327,32.700631,normal,normal,no
3182,1,25,back,?????,51.712422,32.702500,normal,normal,no
3180,1,26,back,?????,51.714907,32.704313,normal,normal,no
3178,1,27,back,??????,51.717347,32.705756,normal,normal,no
3176,1,28,back,?????,51.720557,32.707646,normal,normal,no
3174,1,29,back,??? ??????,51.724125,32.709756,normal,normal,no
3173,1,30,back,????,51.726996,32.712361,normal,normal,no
3171,1,31,back,?????,51.727819,32.713661,normal,normal,no
3840,1,32,back,???? ???? ?????,51.729197,32.715873,normal,normal,no
3841,1,33,back,????????,51.731035,32.718830,normal,normal,no
3168,1,34,back,????,51.732016,32.720383,normal,normal,no
3194,4,1,go,?????-4,51.725886,32.693692,od,normal,no
3198,4,2,go,????,51.720393,32.694683,normal,normal,no
3200,4,3,go,???? ???,51.718462,32.692902,normal,normal,no
3204,4,4,go,???? ???? ??????,51.715260,32.690965,normal,normal,no
3206,4,5,go,???? ?????,51.713021,32.689804,normal,normal,no
2581,4,6,go,??????? ????? 10,51.709892,32.688182,normal,normal,no
2576,4,7,go,????? ??????,51.707891,32.687162,normal,normal,no
2574,4,8,go,???? ???????,51.706049,32.686309,normal,normal,no
2573,4,9,go,???? ??????,51.704007,32.685270,normal,normal,no
2807,4,10,go,???? ???? ??? ?,51.702475,32.684482,normal,normal,no
2118,4,11,go,????? ??? ??????,51.701034,32.683000,normal,normal,no
2170,4,12,go,????? ???? ??????,51.702580,32.681444,normal,normal,no
2563,4,13,go,???? ??? ?????,51.699790,32.680217,normal,normal,no
2565,4,14,go,???? ???? ???? ?,51.695622,32.679368,normal,normal,no
2566,4,15,go,????? ???-35-13-5-4,51.691879,32.678663,od,normal,no
2566,4,1,back,????? ???-35-13-5-4,51.691879,32.678663,od,normal,no
2568,4,2,back,???? ??? ?????,51.699229,32.679812,normal,normal,no
2206,4,3,back,????? ???? ??????,51.702697,32.680518,normal,normal,no
2961,4,4,back,???? ???? ??? ?,51.702490,32.684259,normal,normal,no
2572,4,5,back,???? ??????,51.704046,32.685055,normal,normal,no
2575,4,6,back,???? ???????,51.706035,32.686094,normal,normal,no
2577,4,7,back,????? ??????,51.708455,32.687295,normal,normal,no
2580,4,8,back,??????? ????? 10,51.710042,32.688147,normal,normal,no
3205,4,9,back,???? ?????,51.712098,32.689196,normal,normal,no
3203,4,10,back,???? ???? ??????,51.715284,32.690732,normal,normal,no
3847,4,11,back,???? ???,51.718364,32.692583,normal,normal,no
3197,4,12,back,????,51.720616,32.694685,normal,normal,no
3194,4,13,back,?????-4,51.725886,32.693692,od,normal,no
3852,5,1,go,???-149-5,51.755775,32.703288,od,normal,no
3851,5,2,go,?? ???,51.758461,32.701470,normal,normal,no
3208,5,3,go,????? ? ?????,51.754621,32.699553,normal,normal,no
1544,5,4,go,??? ??????,51.751782,32.698113,normal,normal,no
3210,5,5,go,???? ????,51.744689,32.694276,normal,normal,no
3853,5,6,go,???? ?? ????,51.741799,32.692737,normal,normal,no
3854,5,7,go,?????,51.738668,32.690868,normal,normal,no
3213,5,8,go,?? ????,51.734789,32.688855,normal,normal,no
3215,5,9,go,????,51.731385,32.687003,normal,normal,no
3217,5,10,go,??????? 17,51.729165,32.685899,normal,normal,no
