station_co,district_n,x,y
1129,7,563030.95,3615891.13
1154,7,564271.98,3615841.64
1155,7,564024.45,3615856.68
1190,7,563032.43,3615642.03
1212,7,563608.63,3615871.86
1213,7,564015.37,3615840.54
1280,7,562955.9,3615215.06
1342,7,563705.97,3615839.22
1344,7,563026.48,3615204.09
1345,7,563267.95,3615451.18
1346,7,563492.64,3615711.25
1347,7,563009.51,3615663.51
1397,7,563135.62,3616859.4
1399,7,563240.36,3617549.18
1476,7,563636.12,3615985.45
1477,7,563544.94,3616345.61
1478,7,563602.83,3616557.95
1479,7,563772.98,3616911.14
1482,7,564832.39,3618487.14
1487,7,564849.71,3619854.19
1488,7,564893.37,3619311.58
1489,7,564844.29,3618918.03
1491,7,564806.01,3618464.68
1493,7,563666.05,3617534.5
1494,7,563676.43,3617217.27
1495,7,563743.63,3616927.13
1496,7,563624.51,3616613.07
1497,7,563500.55,3616396.88
1498,7,563407.21,3615904.83
1626,7,563119,3615888.25
1690,7,563364.17,3619582.19
1750,7,564570.48,3621748.25
1885,7,563039.66,3615640.08
1887,7,563047.27,3615638.14
2049,7,563064.58,3616146.77
2051,7,563397.92,3619565.45
2240,7,563460.58,3618736.71
2241,7,563296.26,3617927.69
2242,7,563857.72,3617846.81
2243,7,564253.5,3617948.13
2244,7,564483.9,3619336.3
2246,7,563870.27,3617848.88
2247,7,563607.96,3617778.91
2306,7,563394.26,3619228.73
2310,7,563369.74,3618915.39
2311,7,563509.68,3619603.41
2318,7,564002.54,3619187.62
2319,7,563919.58,3619116.8
2320,7,564357.87,3619331.05
2321,7,564324.1,3619277.17
2322,7,564689.85,3619461.14
2323,7,564716.76,3619431.38
2426,7,565898.71,3617640.73
2584,7,565587.19,3617300.65
2586,7,565382.39,3617081.56
2588,7,565273.92,3616967.44
2594,7,565303.58,3617605.09
2597,7,564841.28,3617554.62
2599,7,564541,3617528.83
2600,7,564616.72,3617591.18
2601,7,564067.96,3617501.05
2602,7,564029.91,3617557.23
2603,7,563656.02,3617476.01
2605,7,563350.1,3617452.1
2607,7,563157.53,3617056.65
2609,7,563096.34,3616459.94
2612,7,563267.82,3618007.22
2627,7,563729.66,3618915.36
2628,7,563512.28,3618786.48
2634,7,563292.4,3618254.49
2702,7,564490.13,3619964.6
2703,7,563333.9,3618655.52
2706,7,563624.49,3615868.52
2708,7,563836.96,3618480.58
2709,7,563717.86,3618548.56
2710,7,564126.63,3618578.35
2711,7,563933.19,3618530.76
2712,7,564328.44,3618635.64
2713,7,564276.83,3618645.17
2714,7,564728.97,3618606.53
2715,7,564731.33,3618632.71
2737,7,564953.95,3616652.16
2744,7,563374.28,3619673.17
2760,7,562430.15,3621396.09
2781,7,564547.57,3615995.86
2784,7,565816.26,3617548.28
2839,7,564230.88,3618141.22
2840,7,564095.02,3618422.27
2841,7,563959.77,3618653.99
2842,7,563837.24,3618904.3
2843,7,563709.44,3619321.21
2844,7,563646.29,3619508.06
2845,7,564004.49,3619772.66
2846,7,564362.58,3619891.38
2854,7,564836.74,3620076.17
2855,7,564328.62,3619911
2857,7,563490.31,3619627.79
2858,7,563612.51,3619529.02
2859,7,563690.6,3619291.38
2861,7,563944.63,3618647.02
2862,7,564091.09,3618376.79
2863,7,564209.32,3618139.86
2864,7,564260.94,3618015.14
2873,7,564768.33,3616478.44
2915,7,563424.72,3617524.64
2921,7,565664.39,3617635.07
2959,7,565899.19,3617652.26
2984,7,564537.19,3618867.14
2985,7,564120.61,3618785.73
2986,7,563810.59,3618748.15
2987,7,563833.31,3618713.82
2988,7,564208.93,3618767.23
2989,7,564583.31,3618822.54
3134,7,563874.86,3619759.19
3135,7,563838.31,3620065.82
3136,7,563796.04,3620094.93
3137,7,563740.71,3620260.98
3139,7,563806.03,3620320.49
3140,7,563935.51,3620383.51
3141,7,563998.09,3620445.45
3143,7,564024.23,3620678.98
3144,7,564001,3620691.58
3145,7,563993.73,3620904.5
3146,7,563948.38,3620961.3
3147,7,563286.89,3620884.89
3148,7,563781.39,3621033.51
3149,7,562903.65,3620834.35
3150,7,563349.3,3621237.06
3151,7,563168.51,3620328.5
